ID,정답 감정(영어),정답 감정(한글),모델 감정(한글),모델 감정(영어),정답 여부
1,anger,분노,분노,anger,O
2,anger,분노,분노,anger,O
3,anger,분노,분노,anger,O
4,anger,분노,분노,anger,O
5,anger,분노,분노,anger,O
6,anger,분노,분노,anger,O
7,anger,분노,분노,anger,O
8,anger,분노,분노,anger,O
9,anger,분노,분노,anger,O
10,anger,분노,분노,anger,O
11,anger,분노,불안,fear,X
12,anger,분노,분노,anger,O
13,anger,분노,분노,anger,O
14,anger,분노,놀람,surprised,X
15,anger,분노,분노,anger,O
16,anger,분노,분노,anger,O
17,anger,분노,분노,anger,O
18,anger,분노,분노,anger,O
19,anger,분노,분노,anger,O
20,anger,분노,분노,anger,O
21,fear,불안,중립,neutral,X
22,fear,불안,중립,neutral,X
23,fear,불안,불안,fear,O
24,fear,불안,불안,fear,O
25,fear,불안,분노,anger,X
26,fear,불안,분노,anger,X
27,fear,불안,,UNKNOWN,X
28,fear,불안,분노,anger,X
29,fear,불안,불안,fear,O
30,fear,불안,불안,fear,O
31,fear,불안,분노,anger,X
32,fear,불안,불안,fear,O
33,fear,불안,불안,fear,O
34,fear,불안,분노,anger,X
35,fear,불안,불안,fear,O
36,fear,불안,불안,fear,O
37,fear,불안,불안,fear,O
38,fear,불안,분노,anger,X
39,fear,불안,불안,fear,O
40,fear,불안,불안,fear,O
41,happy,행복,기쁨,UNKNOWN,X
42,happy,행복,중립,neutral,X
43,happy,행복,놀람,surprised,X
44,happy,행복,중립,neutral,X
45,happy,행복,기쁨,UNKNOWN,X
46,happy,행복,중립,neutral,X
47,happy,행복,기쁨,UNKNOWN,X
48,happy,행복,중립,neutral,X
49,happy,행복,기쁨,UNKNOWN,X
50,happy,행복,기쁨,UNKNOWN,X
51,happy,행복,중립,neutral,X
52,happy,행복,중립,neutral,X
53,happy,행복,기쁨,UNKNOWN,X
54,happy,행복,기쁨,UNKNOWN,X
55,happy,행복,기쁨,UNKNOWN,X
56,happy,행복,기쁨,UNKNOWN,X
57,happy,행복,기쁨,UNKNOWN,X
58,happy,행복,중립,neutral,X
59,happy,행복,기쁨,UNKNOWN,X
60,happy,행복,기쁨,UNKNOWN,X
61,neutral,중립,중립,neutral,O
62,neutral,중립,중립,neutral,O
63,neutral,중립,중립,neutral,O
64,neutral,중립,중립,neutral,O
65,neutral,중립,중립,neutral,O
66,neutral,중립,중립,neutral,O
67,neutral,중립,,UNKNOWN,X
68,neutral,중립,중립,neutral,O
69,neutral,중립,분노,anger,X
70,neutral,중립,중립,neutral,O
71,neutral,중립,중립,neutral,O
72,neutral,중립,중립,neutral,O
73,neutral,중립,중립,neutral,O
74,neutral,중립,,UNKNOWN,X
75,neutral,중립,중립,neutral,O
76,neutral,중립,중립,neutral,O
77,neutral,중립,중립,neutral,O
78,neutral,중립,중립,neutral,O
79,neutral,중립,,UNKNOWN,X
80,neutral,중립,중립,neutral,O
81,sad,슬픔,,UNKNOWN,X
82,sad,슬픔,슬픔,sad,O
83,sad,슬픔,분노,anger,X
84,sad,슬픔,불안,fear,X
85,sad,슬픔,분노,anger,X
86,sad,슬픔,중립,neutral,X
87,sad,슬픔,중립,neutral,X
88,sad,슬픔,슬픔,sad,O
89,sad,슬픔,분노,anger,X
90,sad,슬픔,슬픔,sad,O
91,sad,슬픔,슬픔,sad,O
92,sad,슬픔,분노,anger,X
93,sad,슬픔,불안,fear,X
94,sad,슬픔,불안,fear,X
95,sad,슬픔,분노,anger,X
96,sad,슬픔,분노,anger,X
97,sad,슬픔,분노,anger,X
98,sad,슬픔,분노,anger,X
99,sad,슬픔,불안,fear,X
100,sad,슬픔,불안,fear,X
101,surprised,놀람,중립,neutral,X
102,surprised,놀람,불안,fear,X
103,surprised,놀람,분노,anger,X
104,surprised,놀람,분노,anger,X
105,surprised,놀람,중립,neutral,X
106,surprised,놀람,중립,neutral,X
107,surprised,놀람,불안,fear,X
108,surprised,놀람,분노,anger,X
109,surprised,놀람,분노,anger,X
110,surprised,놀람,분노,anger,X
111,surprised,놀람,중립,neutral,X
112,surprised,놀람,불안,fear,X
113,surprised,놀람,중립,neutral,X
114,surprised,놀람,불안,fear,X
115,surprised,놀람,분노,anger,X
116,surprised,놀람,놀람,surprised,O
117,surprised,놀람,놀람,surprised,O
118,surprised,놀람,분노,anger,X
119,surprised,놀람,분노,anger,X
120,surprised,놀람,놀람,surprised,O
